Marca,Modelo,Alemania (€),Países Bajos (€),Reino Unido (£),Precio_Rango,Rango,Bateria,Eficiencia,Peso,Remolque,Carga_Rapida,Carga_Vol,Rango_1_parada,Traccion_trasera,Traccion_delantera,Segmento_mercado,Clasificacion_seguridad,Numero_asientos,Bomba_calor,Carga_bidireccional,Imagen_tag,Sitio
Tesla,Model S Dual Motor,No disponible,No disponible,No disponible,185,575 km,95.0 kWh,165 Wh/km,2170 kg,1600,140,798,653,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_S_2021/Tesla_Model_S_2021-01-thumb.jpg,https://ev-database.org/
BMW,i4 eDrive40,No disponible,No disponible,No disponible,124,515 km,81.3 kWh,158 Wh/km,2125 kg,1600,131,470,589,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_i4_2024/BMW_i4_2024-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Long Range AWD,"€53,668","€50,993","£50,990",112,485 km,75.0 kWh,155 Wh/km,1919 kg,1000,124,649,577,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb.jpg,https://ev-database.org/
Tesla,Model Y RWD (CATL LFP),"€45,970","€45,990","£44,990",137,350 km,57.5 kWh,164 Wh/km,1984 kg,1600,108,971,407,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb.jpg,https://ev-database.org/
Tesla,Model 3 Long Range AWD (Highland),No disponible,No disponible,No disponible,101,525 km,75.0 kWh,143 Wh/km,1899 kg,1000,124,682,629,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg,https://ev-database.org/
KGM,Torres EVX,No disponible,No disponible,No disponible,113,370 km,72.0 kWh,195 Wh/km,1979 kg,1500,85,839,368,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/KGM_Torres_EVX/KGM_Torres_EVX-01-thumb.jpg,https://ev-database.org/
BMW,iX3,"€67,300","€71,462","£64,165",184,385 km,74.0 kWh,192 Wh/km,2255 kg,750,104,510,411,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BMW_iX3_2022/BMW_iX3_2022-01-thumb.jpg,https://ev-database.org/
Fiat,Grande Panda,No disponible,No disponible,No disponible,96,260 km,43.8 kWh,168 Wh/km,1511 kg,550,60,361,270,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Fiat_Grande_Panda_2024/Fiat_Grande_Panda_2024-01-thumb.jpg,https://ev-database.org/
BYD,SEALION 7 82.5 kWh RWD Comfort,No disponible,No disponible,No disponible,123,415 km,82.5 kWh,199 Wh/km,2300 kg,750,115,578,438,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_SEALION_7/BYD_SEALION_7-01-thumb.jpg,https://ev-database.org/
Toyota,bZ4X FWD,No disponible,No disponible,No disponible,136,350 km,64.0 kWh,183 Wh/km,1970 kg,750,100,452,384,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Toyota_bZ4X/Toyota_bZ4X-01-thumb.jpg,https://ev-database.org/
Kia,EV9 99.8 kWh AWD,No disponible,No disponible,No disponible,171,435 km,96.0 kWh,221 Wh/km,2625 kg,2500,194,385,485,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV9_2023/Kia_EV9_2023-01-thumb.jpg,https://ev-database.org/
Kia,EV6 Long Range 2WD,"€51,990","€50,995","£45,245",126,410 km,74.0 kWh,180 Wh/km,1985 kg,1600,200,532,514,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Kia_EV6_2021/Kia_EV6_2021-01-thumb.jpg,https://ev-database.org/
Ford,Puma Gen-E,No disponible,No disponible,No disponible,130,275 km,43.6 kWh,159 Wh/km,1563 kg,750,85,566,312,No disponible,No disponible,No disponible,-1,No disponible,No disponible,No disponible,https://ev-database.org//img/auto/Ford_Puma_Gen-E/Ford_Puma_Gen-E-01-thumb.jpg,https://ev-database.org/
Mini,Countryman E,No disponible,No disponible,No disponible,119,380 km,64.6 kWh,170 Wh/km,1940 kg,750,93,460,405,No disponible,No disponible,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Mini_Countryman_2024/Mini_Countryman_2024-01-thumb.jpg,https://ev-database.org/
Skoda,Enyaq 85,No disponible,No disponible,No disponible,107,455 km,77.0 kWh,169 Wh/km,2141 kg,1000,120,585,477,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Skoda_Enyaq_2025/Skoda_Enyaq_2025-01-thumb.jpg,https://ev-database.org/
Ford,Capri Extended Range RWD,No disponible,No disponible,No disponible,112,455 km,77.0 kWh,169 Wh/km,2098 kg,1000,120,572,477,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Ford_Capri_2024/Ford_Capri_2024-01-thumb.jpg,https://ev-database.org/
Zeekr,7X Long Range RWD,No disponible,No disponible,No disponible,120,475 km,94.0 kWh,198 Wh/km,2415 kg,2000,260,605,611,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Zeekr_7X_2024/Zeekr_7X_2024-01-thumb.jpg,https://ev-database.org/
Smart,#5 Premium,No disponible,No disponible,No disponible,122,465 km,94.0 kWh,202 Wh/km,2260 kg,1600,230,702,579,,,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Smart_5_2025/Smart_5_2025-01-thumb.jpg,https://ev-database.org/
Ford,Explorer Extended Range RWD,No disponible,No disponible,No disponible,112,435 km,77.0 kWh,177 Wh/km,2090 kg,1000,120,536,452,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/Ford_Explorer_2024/Ford_Explorer_2024-01-thumb.jpg,https://ev-database.org/
BYD,DOLPHIN SURF 43.2 kWh Boost,No disponible,No disponible,No disponible,93,270 km,43.2 kWh,160 Wh/km,1445 kg,0,60,308,283,No disponible,No disponible,No disponible,-1,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_DOLPHIN_SURF/BYD_DOLPHIN_SURF-01-thumb.jpg,https://ev-database.org/
BYD,SEAL 82.5 kWh RWD Design,No disponible,No disponible,No disponible,102,480 km,82.5 kWh,172 Wh/km,2130 kg,750,100,453,507,,,No disponible,5,No disponible,Heatpump,No disponible,https://ev-database.org//img/auto/BYD_SEAL/BYD_SEAL-01-thumb.jpg,https://ev-database.org/
